time,camera_x,camera_y,camera_z,lookat_x,lookat_y,lookat_z
0,0.0,20,500.0,-500.0,0,6.123233995736766e-14
1,17.449748351250484,20,499.6954135095479,-499.3147673772869,0,-26.167978121471783
2,34.87823687206265,20,498.7820251299121,-497.2609476841366,0,-52.264231633826746
3,52.26423163382673,20,497.2609476841366,-493.8441702975689,0,-78.21723252011536
4,69.58655048003271,20,495.1340343707852,-489.0738003669028,0,-103.95584540887975
5,86.82408883346517,20,492.403876506104,-482.9629131445342,0,-129.4095225512604
6,103.95584540887967,20,489.07380036690284,-475.5282581475768,0,-154.50849718747364
7,120.96094779983386,20,485.14786313799823,-466.7902132486008,0,-179.18397477265023
8,137.81867790849958,20,480.63084796915945,-456.77272882130046,0,-203.3683215379001
9,154.5084971874737,20,475.52825814757676,-445.5032620941839,0,-226.99524986977335
10,171.01007166283435,20,469.8463103929542,-433.0127018922193,0,-250.00000000000006
11,187.303296707956,20,463.5919272833937,-419.33528397271203,0,-272.3195175075135
12,203.3683215379001,20,456.77272882130046,-404.5084971874737,0,-293.8926261462365
13,219.18557339453872,20,449.3970231495835,-388.5729807284854,0,-314.66019552491883
14,234.7357813929454,20,441.4737964294635,-371.5724127386971,0,-334.5653031794291
15,249.99999999999997,20,433.01270189221935,-353.55339059327383,0,-353.5533905932737
16,264.95963211660245,20,424.02404807821296,-334.56530317942907,0,-371.57241273869715
17,279.5964517353735,20,414.51878627752086,-314.6601955249189,0,-388.5729807284853
18,293.8926261462366,20,404.5084971874737,-293.89262614623664,0,-404.50849718747367
19,307.83073766282916,20,394.00537680336095,-272.31951750751347,0,-419.3352839727121
20,321.3938048432696,20,383.022221559489,-250.00000000000023,0,-433.0127018922192
21,334.5653031794291,20,371.5724127386971,-226.9952498697735,0,-445.50326209418387
22,347.32918522949865,20,359.6699001693256,-203.36832153790004,0,-456.77272882130046
23,359.66990016932556,20,347.32918522949865,-179.18397477265034,0,-466.79021324860076
24,371.5724127386971,20,334.5653031794291,-154.50849718747378,0,-475.52825814757676
25,383.022221559489,20,321.39380484326966,-129.40952255126032,0,-482.9629131445342
26,394.005376803361,20,307.83073766282916,-103.9558454088799,0,-489.0738003669028
27,404.5084971874737,20,293.8926261462366,-78.21723252011552,0,-493.84417029756884
28,414.51878627752086,20,279.5964517353734,-52.26423163382668,0,-497.2609476841367
29,424.02404807821296,20,264.95963211660245,-26.167978121472153,0,-499.3147673772869
30,433.0127018922193,20,250.00000000000006,-9.184850993605149e-14,0,-500.0
31,441.47379642946345,20,234.73578139294543,26.16797812147197,0,-499.3147673772869
