time,camera_x,camera_y,camera_z,lookat_x,lookat_y,lookat_z
0,0.0,20,800.0,-800.0,0,9.797174393178826e-14
1,27.919597362000776,20,799.5126616152766,-798.9036278036591,0,-41.86876499435485
2,55.80517899530024,20,798.0512402078593,-795.6175162946187,0,-83.6227706141228
3,83.62277061412277,20,795.6175162946187,-790.1506724761102,0,-125.14757203218458
4,111.33848076805235,20,792.2144549932563,-782.5180805870444,0,-166.3293526542076
5,138.91854213354426,20,787.8462024097664,-772.7406610312546,0,-207.05523608201665
6,166.32935265420747,20,782.5180805870446,-760.8452130361229,0,-247.21359549995782
7,193.5375164797342,20,776.2365810207972,-746.8643411977613,0,-286.69435963624034
8,220.50988465359933,20,769.0093567506551,-730.8363661140806,0,-325.38931446064015
9,247.2135954999579,20,760.8452130361228,-712.8052193506943,0,-363.19239979163734
10,273.61611466053495,20,751.7540966287268,-692.8203230275509,0,-400.0000000000001
11,299.6852747327296,20,741.74708365343,-670.9364543563393,0,-435.71122801202165
12,325.38931446064015,20,730.8363661140806,-647.2135954999579,0,-470.2282018339784
13,350.69691743126197,20,719.0352370393337,-621.7167691655766,0,-503.45631283987007
14,375.57725022871267,20,706.3580742871416,-594.5158603819154,0,-535.3044850870866
15,399.99999999999994,20,692.820323027551,-565.6854249492382,0,-565.6854249492379
16,423.93541138656394,20,678.4384769251408,-535.3044850870865,0,-594.5158603819154
17,447.35432277659754,20,663.2300580440334,-503.4563128398703,0,-621.7167691655765
18,470.2282018339785,20,647.2135954999579,-470.2282018339786,0,-647.2135954999578
19,492.52918026052663,20,630.4086028853775,-435.7112280120216,0,-670.9364543563394
20,514.2300877492314,20,612.8355544951825,-400.00000000000034,0,-692.8203230275507
21,535.3044850870866,20,594.5158603819154,-363.19239979163757,0,-712.8052193506942
22,555.7266963671977,20,575.471840270921,-325.3893144606401,0,-730.8363661140808
23,575.4718402709209,20,555.7266963671977,-286.69435963624056,0,-746.8643411977612
24,594.5158603819154,20,535.3044850870866,-247.21359549995805,0,-760.8452130361228
25,612.8355544951825,20,514.2300877492315,-207.0552360820165,0,-772.7406610312546
26,630.4086028853776,20,492.52918026052663,-166.32935265420784,0,-782.5180805870444
27,647.2135954999579,20,470.2282018339785,-125.14757203218483,0,-790.1506724761101
28,663.2300580440334,20,447.3543227765974,-83.62277061412269,0,-795.6175162946187
29,678.4384769251408,20,423.93541138656394,-41.868764994355445,0,-798.9036278036591
30,692.8203230275509,20,400.0000000000001,-1.4695761589768238e-13,0,-800.0
31,706.3580742871414,20,375.57725022871267,41.86876499435515,0,-798.9036278036591
32,719.0352370393335,20,350.69691743126197,83.62277061412239,0,-795.6175162946187
33,730.8363661140806,20,325.38931446064015,125.14757203218454,0,-790.1506724761102
34,741.74708365343,20,299.68527473272957,166.32935265420755,0,-782.5180805870444
35,751.7540966287266,20,273.61611466053506,207.05523608201622,0,-772.7406610312547
36,760.8452130361228,20,247.21359549995796,247.2135954999578,0,-760.8452130361229
37,769.0093567506551,20,220.50988465359933,286.6943596362403,0,-746.8643411977614
38,776.2365810207972,20,193.53751647973414,325.3893144606398,0,-730.8363661140809
39,782.5180805870444,20,166.32935265420755,363.1923997916373,0,-712.8052193506943
